Rozmiar; Random; 25%; 50%; 75%; 95%; 99%; 99,7%; odwrotnie
10000; 15; 17; 15; 13; 25; 21; 11; 20
50000; 75; 90; 77; 80; 128; 215; 135; 101
100000; 166; 169; 161; 154; 232; 575; 399; 205
500000; 876; 924; 923; 965; 1686; 3775; 3814; 1241
1000000; 1918; 2061; 1976; 1994; 3686; 8672; 8372; 2392
