Rozmiar; Random; 25%; 50%; 75%; 95%; 99%; 99,7%; odwrotnie
10000; 13; 13; 12; 12; 12; 11; 12; 12
50000; 78; 75; 72; 70; 68; 68; 63; 65
100000; 150; 142; 141; 134; 130; 129; 128; 135
500000; 743; 727; 698; 680; 649; 651; 650; 672
1000000; 1553; 1521; 1458; 1390; 1345; 1331; 1356; 1394
